Rank,Country,ISO3,Region,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Combat Tanks,Armored Fighting Vehicles,Total Naval Assets,Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
72,Jordan,JOR,Western Asia,8185384,170600,105600,65000,260,134,1321,2547,37,2205000,12,1,7891,507,1500,26660,15180,86190,89342,26,1744,540
73,Libya,LIB,Northern Africa,6541948,100000,35000,65000,121,26,340,699,5,1153000,23,4,100024,2757,3000,3531,55400,90890,1759540,1770,4339,0
74,Slovakia,SLK,Eastern Europe,5445802,14675,14675,0,42,16,22,478,0,2724000,11,2,43916,3622,1025,75040,2657,169100,49035,0,1587,172
75,Cuba,CUB,Caribbean,11179995,1256000,69500,1186500,80,14,50,1830,12,5117000,3,8,60858,8203,700,26320,13100,128500,110860,3735,29,240
76,Democratic Republic of the Congo,DRC,Middle Africa,81331050,144625,144625,0,41,27,200,210,20,31080000,1,11,153497,4007,162,5331,774,66010,2344858,37,10481,15000
77,Kenya,KEN,Eastern Africa,46790758,29150,24150,5000,131,61,76,591,19,18660000,5,2,160886,2066,595,20250,7374,152700,580367,536,3457,0
78,Tunisia,TUN,Northern Africa,11134588,50150,38150,12000,148,83,199,679,50,4038000,9,5,19418,2165,550,27230,6276,130800,163610,1148,1495,0
79,Oman,OMA,Western Asia,3355262,61800,57300,4500,116,50,117,950,16,968800,5,3,60240,0,6715,20850,14540,173100,309500,2092,1561,0
80,Kuwait,KUW,Western Asia,2832776,46500,15500,31000,106,43,368,861,38,2546000,34,5,5749,0,5200,47890,28720,301100,17818,499,475,0
81,Zimbabwe,ZIM,Eastern Africa,14546961,52000,30000,22000,92,28,72,172,0,8098000,0,2,97267,3427,95,10900,326,28330,390757,0,3229,0
83,Serbia,SER,Southern Europe,7143921,90075,40075,50000,121,39,805,575,19,2910000,0,0,41913,3379,830,31640,11640,101500,77474,0,2322,587
84,Sri Lanka,SRL,Southern Asia,22235000,300700,202500,98200,69,45,102,571,40,9062000,21,1,114093,1449,1500,47650,7060,237800,65610,1340,0,160
85,Zambia,ZAM,Eastern Africa,15510711,19600,15100,4500,81,25,25,234,0,7116000,0,1,91440,2157,245,9270,2046,65170,752618,0,6043,2250
86,Turkmenistan,TKM,Central Asia,5291317,30000,30000,0,72,25,712,1941,4,2305000,11,1,58592,2980,200,502,10900,94770,488100,1768,4158,1300
87,Mongolia,MON,Eastern Asia,3031330,150275,10275,140000,9,6,420,640,0,11640000,57,0,49249,1908,70,18670,6000,36650,1564116,0,8082,580
88,Chad,CHD,Middle Africa,11852462,30500,30500,0,38,19,60,332,0,5457000,0,0,40000,0,120,1875,627,30590,1284000,0,6406,0
89,Cambodia,CMB,South-eastern Asia,15957223,195000,125000,70000,22,17,550,300,27,6643000,544,2,39618,690,192,8460,8477,58940,181035,443,2530,3700
90,Albania,ALB,Southern Europe,3038594,64000,50000,14000,23,23,0,933,38,1179000,17,4,18000,339,110,7797,3213,34210,28748,362,691,41
91,Qatar,QTR,Western Asia,2258283,12000,12000,0,98,43,92,464,80,1691000,28,3,7790,0,1930,159200,36030,334500,11586,563,87,0
92,Uganda,UGA,Eastern Africa,38319241,56500,45000,11500,43,21,240,1060,8,19030000,0,0,20000,1244,280,6241,2851,84930,241038,0,2729,0
93,Armenia,ARM,Western Asia,3051250,215700,44800,170900,64,42,229,636,0,1559000,0,0,7705,869,225,8365,1512,26560,29743,0,1570,0
94,Bahrain,BAH,Western Asia,1378904,47405,11600,35805,102,62,180,277,39,809700,8,2,4122,0,730,21160,3260,66370,760,161,0,0
95,Lithuania,LIT,Northern Europe,2854235,23015,16015,7000,10,5,0,432,12,1459000,38,2,84166,1767,430,34480,1697,85790,65300,90,1545,441
96,Tanzania,TAN,Eastern Africa,52482726,110000,30000,80000,30,2,30,150,19,26960000,94,2,86472,3689,220,15890,3771,150600,947300,1424,4161,0
97,Nepal,NEP,Southern Asia,29033914,157000,95000,62000,22,18,0,1480,0,15200000,0,0,17282,59,210,4990,8054,71520,147181,0,3159,0
98,Lebanon,LEB,Western Asia,6237738,116000,96000,20000,63,54,294,3796,57,1628000,29,2,6970,401,1735,40740,47740,85160,10400,225,484,170
99,South Sudan,SSU,Eastern Africa,12530717,197500,197500,0,9,9,110,250,0,750000,0,0,7000,236,545,2250,100,20880,644329,0,6018,0
100,Guatemala,GUA,Central America,15189958,106775,16775,90000,35,19,20,134,26,4623000,0,2,11501,332,210,19090,8803,132300,108889,400,1667,990
101,Ghana,GHA,Western Africa,26908262,13500,13500,0,25,14,0,300,20,11990000,4,2,109515,947,120,21170,6137,120800,238533,539,2420,1293
102,New Zealand,NWZ,Oceania,4474549,11300,9000,2300,48,21,0,155,11,2562000,15,6,94160,4128,1870,81390,18550,174800,267710,15134,0,0
103,Latvia,LAT,Northern Europe,1965686,17155,9155,8000,4,4,0,250,18,968700,11,2,72440,2239,280,40020,7507,50870,64589,498,1370,300
104,Uruguay,URU,South America,3351016,25900,25000,900,50,10,79,434,20,1736000,16,1,77732,1641,490,21300,14850,73930,176215,660,1591,1600
105,Paraguay,PAR,South America,6862812,183200,10700,172500,31,10,9,63,40,3291000,19,4,29500,36,145,15420,6059,64120,406752,0,4655,3100
